User,Date,ID,Likes,Replies,Retweets,Source of Tweet,User Tweet Count,User Follower Count,Automated User,Verified User,Language,Tweet,Conversation,rootId
r0bert9g,2022-05-10 03:37:40+00:00,1523869857468534784,0,0,0,Twitter Web App,204,63,,0,en,@technologypoet Does this qualify? #Terra $LUNA https://t.co/Q4AuRCbjVN,"[""Vanessa Harris: I'm seeing a distinct lack of $UST memes. You know the memes won't make themselves, right?  $LUNA #Terra https://t.co/ShwM0deTMf"", 'r0bert9g: @technologypoet Does this qualify? #Terra $LUNA https://t.co/Q4AuRCbjVN']",1523814957208719361
MaShanks,2022-05-10 00:41:15+00:00,1523825460572041219,1,0,0,Twitter for iPhone,2809,152,,0,en,@MoonOverlord Is $LUNA worth buying at this point. Hard to tell how much further it will drop. Surely not to $0 or less than $20,"['moon: $LUNA emitting Enron / Bear Stearns vibes  a top 10 crypto is close to -50% on the day, this is wild', 'Mark Shanks: @MoonOverlord Is $LUNA worth buying at this point. Hard to tell how much further it will drop. Surely not to $0 or less than $20']",1523814020070797312
YOjawnZiLLA,2022-05-10 00:03:33+00:00,1523815972217491464,2,0,0,Twitter Web App,4986,295,,0,en,"@MoonOverlord if anyone buys the dip on luna or ust right now, they must have balls of steel.","['moon: $LUNA emitting Enron / Bear Stearns vibes  a top 10 crypto is close to -50% on the day, this is wild', 'jawnzilla 🟠🫡: @MoonOverlord if anyone buys the dip on luna or ust right now, they must have balls of steel.']",1523814020070797312
okeh581,2022-05-10 17:08:33+00:00,1524073922274148359,0,0,0,Twitter for iPhone,6678,227,,0,en,@Motivatingjean 1. I’m grateful to almighty God 2.I’m grateful that UST survived the hit yesterday  3. I’m grateful coz #LUNA will be stronger again the wave ❤️,"['⚔️ MJ: I literally just wnna give away some $LUNA to my people 🌖❤️ in hopes to make their day. ☀️   Write 3 things you’re grateful for, when the comments hit 100 the giveaway will begin! LFG! 💬 now! 👇👇👇👇#Terra #LunaTics #LFG', 'blockchainer | 0x00581.bnb: @Motivatingjean 1. I’m grateful to almighty God 2.I’m grateful that UST survived the hit yesterday  3. I’m grateful coz #LUNA will be stronger again the wave ❤️']",1523812902586646528
mithunir,2022-05-10 12:02:08+00:00,1523996807855951872,0,0,0,Twitter Web App,2010,28,,0,en,@Motivatingjean Luna - Still the movie is not over.,"['⚔️ MJ: I literally just wnna give away some $LUNA to my people 🌖❤️ in hopes to make their day. ☀️   Write 3 things you’re grateful for, when the comments hit 100 the giveaway will begin! LFG! 💬 now! 👇👇👇👇#Terra #LunaTics #LFG', 'mithunir: @Motivatingjean Luna - Still the movie is not over.']",1523812902586646528
saahaabii,2022-05-10 11:44:43+00:00,1523992424460308490,0,0,0,Twitter for Android,5011,815,,0,en,@Motivatingjean Life  Air and  Luna,"['⚔️ MJ: I literally just wnna give away some $LUNA to my people 🌖❤️ in hopes to make their day. ☀️   Write 3 things you’re grateful for, when the comments hit 100 the giveaway will begin! LFG! 💬 now! 👇👇👇👇#Terra #LunaTics #LFG', '🌒CiTaNuLᵍᵍ.UST: @Motivatingjean Life  Air and  Luna']",1523812902586646528
the_true_Jax,2022-05-10 09:15:26+00:00,1523954858176487429,4,1,0,Twitter for Android,2100,128,,0,en,@Motivatingjean I am grateful for the community #LUNAtics... My wife who has supported me even though I lost all my Luna. And for my friends @Tmax82 @ctbutt114 @KyleMacLeanX to name a few,"['⚔️ MJ: I literally just wnna give away some $LUNA to my people 🌖❤️ in hopes to make their day. ☀️   Write 3 things you’re grateful for, when the comments hit 100 the giveaway will begin! LFG! 💬 now! 👇👇👇👇#Terra #LunaTics #LFG', 'Jax 🌙: @Motivatingjean I am grateful for the community #LUNAtics... My wife who has supported me even though I lost all my Luna. And for my friends @Tmax82 @ctbutt114 @KyleMacLeanX to name a few']",1523812902586646528
Yeshuaseva,2022-05-10 08:35:08+00:00,1523944717964222464,1,0,0,Twitter for Android,844,35,,0,en,@Motivatingjean I'm grateful that I know God I'm grateful that God loves me I'm grateful that I have God and irrespective of whatever may/may not happen He will be there for me🤗 So I'm not worried about all that's happening with LUNA/UST because I know He is in control 😊,"['⚔️ MJ: I literally just wnna give away some $LUNA to my people 🌖❤️ in hopes to make their day. ☀️   Write 3 things you’re grateful for, when the comments hit 100 the giveaway will begin! LFG! 💬 now! 👇👇👇👇#Terra #LunaTics #LFG', ""Yeva: @Motivatingjean I'm grateful that I know God I'm grateful that God loves me I'm grateful that I have God and irrespective of whatever may/may not happen He will be there for me🤗 So I'm not worried about all that's happening with LUNA/UST because I know He is in control 😊""]",1523812902586646528
JinLee38130963,2022-05-10 07:29:37+00:00,1523928227391148033,1,0,0,Twitter for Android,331,35,,0,en,"@Motivatingjean I'm grateful that money is not everything. We should be thankful for whatever we have around us, that's what matters the most ❤.  LUNA community is stronger than this FUD!","['⚔️ MJ: I literally just wnna give away some $LUNA to my people 🌖❤️ in hopes to make their day. ☀️   Write 3 things you’re grateful for, when the comments hit 100 the giveaway will begin! LFG! 💬 now! 👇👇👇👇#Terra #LunaTics #LFG', ""JinLee: @Motivatingjean I'm grateful that money is not everything. We should be thankful for whatever we have around us, that's what matters the most ❤.  LUNA community is stronger than this FUD!""]",1523812902586646528
martinlabs_eth,2022-05-10 06:27:19+00:00,1523912549564964864,0,0,0,Twitter Web App,8128,282,,0,en,@Motivatingjean I'm grateful that my $LUNA stuck in the unbonding period and make me hold the temptation to actually sell it... 😂😂😂,"['⚔️ MJ: I literally just wnna give away some $LUNA to my people 🌖❤️ in hopes to make their day. ☀️   Write 3 things you’re grateful for, when the comments hit 100 the giveaway will begin! LFG! 💬 now! 👇👇👇👇#Terra #LunaTics #LFG', ""martinlabs.Ξth: @Motivatingjean I'm grateful that my $LUNA stuck in the unbonding period and make me hold the temptation to actually sell it... 😂😂😂""]",1523812902586646528
